date,close,change,change_percent,direction
2019-09-07,10455.88,157.15,1.5259,up
2019-09-08,10381.18,-74.70,-0.7144,down
2019-09-09,10303.12,-78.06,-0.7519,down
2019-09-10,10098.15,-204.97,-1.9894,down
2019-09-11,10158.33,60.18,0.5960,up
2019-09-12,10415.01,256.68,2.5268,up
2019-09-13,10342.06,-72.95,-0.7004,down
2019-09-14,10335.02,-7.04,-0.0681,down
2019-09-15,10302.01,-33.01,-0.3194,down
2019-09-16,10251.31,-50.70,-0.4921,down
2019-09-17,10187.82,-63.49,-0.6193,down
2019-09-18,10156.99,-30.83,-0.3026,down
2019-09-19,10244.29,87.30,0.8595,up
2019-09-20,10168.59,-75.70,-0.7389,down
2019-09-21,9986.39,-182.20,-1.7918,down
2019-09-22,10028.87,42.48,0.4254,up
2019-09-23,9702.25,-326.62,-3.2568,down
2019-09-24,8493.14,-1209.11,-12.4622,down
2019-09-25,8430.05,-63.09,-0.7428,down
2019-09-26,8063.73,-366.32,-4.3454,down
2019-09-27,8177.91,114.18,1.4160,up
2019-09-28,8198.81,20.90,0.2556,up
2019-09-29,8043.82,-154.99,-1.8904,down
2019-09-30,8289.34,245.52,3.0523,up
2019-10-01,8292.44,3.10,0.0374,up
2019-10-02,8359.94,67.50,0.8140,up
2019-10-03,8223.96,-135.98,-1.6266,down
2019-10-04,8137.13,-86.83,-1.0558,down
2019-10-05,8126.19,-10.94,-0.1344,down
2019-10-06,7854.25,-271.94,-3.3465,down
2019-10-07,8190.09,335.84,4.2759,up
2019-10-08,8168.39,-21.70,-0.2650,down
2019-10-09,8560.74,392.35,4.8033,up
2019-10-10,8558.03,-2.71,-0.0317,down
2019-10-11,8258.50,-299.53,-3.5000,down
2019-10-12,8300.09,41.59,0.5036,up
2019-10-13,8275.01,-25.08,-0.3022,down
2019-10-14,8348.20,73.19,0.8845,up
2019-10-15,8159.29,-188.91,-2.2629,down
2019-10-16,7991.74,-167.55,-2.0535,down
2019-10-17,8070.58,78.84,0.9865,up
2019-10-18,7947.01,-123.57,-1.5311,down
2019-10-19,7948.01,1.00,0.0126,up
2019-10-20,8223.35,275.34,3.4643,up
2019-10-21,8197.27,-26.08,-0.3171,down
2019-10-22,8020.00,-177.27,-2.1625,down
2019-10-23,7466.62,-553.38,-6.9000,down
2019-10-24,7412.41,-54.21,-0.7260,down
2019-10-25,8655.02,1242.61,16.7639,up
2019-10-26,9230.00,574.98,6.6433,up
2019-10-27,9529.93,299.93,3.2495,up
2019-10-28,9205.14,-324.79,-3.4081,down
2019-10-29,9407.62,202.48,2.1996,up
2019-10-30,9154.72,-252.90,-2.6882,down
2019-10-31,9140.85,-13.87,-0.1515,down
2019-11-01,9231.61,90.76,0.9929,up
2019-11-02,9289.52,57.91,0.6273,up
2019-11-03,9194.71,-94.81,-1.0206,down
2019-11-04,9393.35,198.64,2.1604,up
2019-11-05,9308.66,-84.69,-0.9016,down
2019-11-06,9339.05,30.39,0.3265,up
2019-11-07,9216.20,-122.85,-1.3154,down
2019-11-08,8773.73,-442.47,-4.8010,down
2019-11-09,8809.41,35.68,0.4067,up
2019-11-10,9039.47,230.06,2.6115,up
2019-11-11,8733.27,-306.20,-3.3874,down
